#id redshift FUV_wl FUV FUV_err NUV_wl NUV NUV_err u_wl u u_err g_wl g g_err r_wl r r_err i_wl i i_err z_wl z z_err J_wl J J_err H_wl H H_err K_wl K K_err W1_wl W1 W1_err W2_wl W2 W2_err W3_wl W3 W3_err W4_wl W4 W4_err
0 0.042032 1538.6 0.03869546152645239 0.0068575842464800455 2315.7 0.209866571627269 0.016264096154381617 3551 0.34424490957180526 0.012413074812409294 4686 1.0265759608147282 0.00563003625233108 6166 1.6840832950608755 0.008993996593178982 7480 2.2713156576131617 0.01856943680494422 8932 2.644389288219063 0.05199918258388255 12350 4.102998282612181 0.32345619629558375 16620 5.207259242969281 0.49165687104894573 21590 4.94669573154231 0.6620392567869728 34000 2.0053012982640572 0.020220319279826867 46000 1.296225681880841 0.02495258853708775 120000 4.159804714061685 0.16396724023074738 220000 4.464030928281852 0.9534519352851812
1 0.042396 1538.6 0.07623212427445661 0.007694585083662962 2315.7 0.2369390709859444 0.014290880594209172 3551 0.23574545777881464 0.012653636906285987 4686 0.4457851404552464 0.005150499229003547 6166 0.5529260789558604 0.007501574056548552 7480 0.6456889227475207 0.012681380813820297 8932 0.6196333498242997 0.04969560968084853 12350 -99.0 -99.0 16620 -99.0 -99.0 21590 -99.0 -99.0 34000 0.34090900592256784 0.013750131117134507 46000 0.2827643222339884 0.021254659531263605 120000 0.7582072398363363 0.14873644226613963 220000 3.56281138074388 -99.0
2 0.037953 1538.6 0.027112669626951823 0.004765586120273665 2315.7 -99.0 -99.0 3551 0.027243497818741087 0.017472782167297952 4686 0.1715598572676701 0.011211411272625305 6166 0.3129890050963514 0.015599415890484044 7480 0.5473487419506792 0.02584478744400289 8932 0.3361339702062694 0.06774408082317411 12350 -99.0 -99.0 16620 -99.0 -99.0 21590 -99.0 -99.0 34000 1.9295637598288455 0.019456624961195615 46000 1.2212474100824233 0.03470412014938349 120000 0.43068108927250515 0.160681508656709 220000 3.142332582231128 -99.0
3 0.042065 1538.6 0.04021324338896438 0.007058660137975896 2315.7 0.17089887003347679 0.012412102634277111 3551 0.13834580334837826 0.011259773171600164 4686 0.32609071853219634 0.004373809832615244 6166 0.44021725038501214 0.006913224671986644 7480 0.5246781362951016 0.010653987626413059 8932 0.6340764710666167 0.04194799461998734 12350 -99.0 -99.0 16620 -99.0 -99.0 21590 -99.0 -99.0 34000 0.24825236428880323 0.01410914742830969 46000 0.16135522122987303 0.01641805441067219 120000 0.5019260085008926 0.11824655921098233 220000 2.5637304208419973 -99.0
4 0.041923 1538.6 -99.0 -99.0 2315.7 -99.0 -99.0 3551 0.20521312816682424 0.023848813693513105 4686 0.46899617358519896 0.009354645049651887 6166 0.6289236854047334 0.012808874733315968 7480 0.653707636384958 0.02371044004436172 8932 0.8730117045528915 0.08820704114401413 12350 -99.0 -99.0 16620 -99.0 -99.0 21590 -99.0 -99.0 34000 0.41670042620107445 0.027120518112641913 46000 0.16938802454363186 0.04083702917373486 120000 0.8763727396263332 -99.0 220000 3.6454026939363566 1.7009007835798586
5 0.046981 1538.6 -99.0 -99.0 2315.7 -99.0 -99.0 3551 0.11692393178800947 0.009683974774669547 4686 0.35775408744885245 0.004821272136940804 6166 0.5935227610876033 0.006811457506874415 7480 0.7887445826984273 0.009404344949352203 8932 0.921752587826388 0.03576340171522859 12350 1.0101723369508115 0.35836214310403747 16620 1.6863098614379564 0.5533961011716975 21590 1.2926659233348732 0.6718696878928845 34000 0.5602895993552995 0.01643532240058854 46000 0.28198778098300237 0.02584913285700253 120000 0.5322535407278849 0.23419384950523522 220000 2.540336714708301 -99.0
6 0.047532 1538.6 -99.0 -99.0 2315.7 -99.0 -99.0 3551 0.18860896051350157 0.0122583450253676 4686 0.84248066131265 0.005349532914666052 6166 1.7666850822708964 0.00828814245654266 7480 2.4875281623536587 0.01164805165980009 8932 3.0215773472434386 0.0467424208098545 12350 4.978539396574144 0.4883165173205753 16620 6.620842826694571 0.7525764985893718 21590 6.14704790122532 0.912845545518406 34000 2.0163609497849966 0.027725234350742627 46000 1.122477892002715 0.04218687357265976 120000 0.5822815935819028 -99.0 220000 2.4220868517408207 -99.0
7 0.047188 1538.6 -99.0 -99.0 2315.7 -99.0 -99.0 3551 0.046947213204581284 0.008063868000595031 4686 0.11762193528503186 0.0036418063959570693 6166 0.17422175003938964 0.005153588739015643 7480 0.20863892399768438 0.007223321834461864 8932 0.2678816128097604 0.029832807177615578 12350 -99.0 -99.0 16620 -99.0 -99.0 21590 -99.0 -99.0 34000 0.1302044853306435 0.01086133042936356 46000 0.06225147883692733 0.023453474143871444 120000 0.4941648814346673 -99.0 220000 3.1337029543659805 -99.0
8 0.04375 1538.6 -99.0 -99.0 2315.7 -99.0 -99.0 3551 0.08022045960108351 0.007327583762016377 4686 0.2402536858769985 0.003265426509605677 6166 0.4326972300531976 0.005001263763806209 7480 0.5540680224048983 0.007019766086605126 8932 0.6603716537337486 0.027787473442783057 12350 -99.0 -99.0 16620 -99.0 -99.0 21590 -99.0 -99.0 34000 0.2723342210813667 0.01922244519613407 46000 0.16815037717350884 0.02497057534714842 120000 0.36450232073357 -99.0 220000 1.6330655930332405 -99.0
9 0.045594 1538.6 -99.0 -99.0 2315.7 -99.0 -99.0 3551 0.056630137438844035 0.010428665968161731 4686 0.12978079654531816 0.00438376706871284 6166 0.18665518520829852 0.0059243062704322546 7480 0.21326155321646745 0.009764275224217953 8932 0.2741858219816242 0.03955276345391457 12350 -99.0 -99.0 16620 -99.0 -99.0 21590 -99.0 -99.0 34000 0.11879966833030005 0.016117312711254828 46000 0.08135738232864351 -99.0 120000 0.45838150943671024 -99.0 220000 3.8905510589035353 -99.0
